USAF,WBAN,YEAR,MONTH,DAY,HOUR,AIR_TEMP,DEW_POINT_TEMP,SEA_LVL_PRESSURE,WIND_DIR,WIND_SPEED_RATE,SKY_CVRG_CODE,LIQ_DEPTH_ONE_HOUR,LIQ_DEPTH_SIX_HOUR
722535,12909,1940,01,01,00,157,63,10098,200,21,-9999,-9999,-9999
722535,12909,1940,01,01,01,119,52,10112,230,15,-9999,-9999,-9999
722535,12909,1940,01,01,02,107,52,10115,0,0,-9999,-9999,-9999
722535,12909,1940,01,01,03,96,52,10115,270,10,-9999,-9999,-9999
722535,12909,1940,01,01,04,102,52,10119,290,26,-9999,-9999,-9999
722535,12909,1940,01,01,05,124,99,10123,270,15,-9999,-9999,-9999
722535,12909,1940,01,01,06,80,46,10119,320,26,-9999,-9999,-9999
722535,12909,1940,01,01,07,80,46,10122,320,36,-9999,-9999,-9999
722535,12909,1940,01,01,08,80,46,10132,340,51,-9999,-9999,-9999
722535,12909,1940,01,01,09,80,46,10135,340,36,-9999,-9999,-9999
722535,12909,1940,01,01,10,80,46,10139,340,46,-9999,-9999,-9999
722535,12909,1940,01,01,11,69,46,10142,340,67,-9999,-9999,-9999
722535,12909,1940,01,01,12,46,35,10146,340,67,-9999,-9999,-9999
722535,12909,1940,01,01,13,63,35,10159,340,46,-9999,-9999,-9999
722535,12909,1940,01,01,14,69,19,10169,360,77,-9999,-9999,-9999
722535,12909,1940,01,01,15,85,24,10180,360,72,-9999,-9999,-9999
722535,12909,1940,01,01,16,102,24,10193,360,51,-9999,-9999,-9999
722535,12909,1940,01,01,17,124,19,10186,320,62,-9999,-9999,-9999
722535,12909,1940,01,01,18,135,24,10173,20,51,-9999,-9999,-9999
722535,12909,1940,01,01,19,152,30,10163,360,46,-9999,-9999,-9999
722535,12909,1940,01,01,20,152,30,10163,360,36,-9999,-9999,-9999
722535,12909,1940,01,01,21,152,30,10163,50,15,-9999,-9999,-9999
722535,12909,1940,01,01,22,146,35,10163,360,51,-9999,-9999,-9999
722535,12909,1940,01,01,23,119,24,10169,360,46,-9999,-9999,-9999
722535,12909,1940,01,02,00,107,19,10169,360,31,-9999,-9999,-9999
722535,12909,1940,01,02,01,85,24,10180,360,36,-9999,-9999,-9999
722535,12909,1940,01,02,02,69,19,10183,360,26,-9999,-9999,-9999
722535,12909,1940,01,02,03,69,2,10190,50,36,-9999,-9999,-9999
722535,12909,1940,01,02,04,63,-15,10200,360,36,-9999,-9999,-9999
722535,12909,1940,01,02,05,63,-15,10203,20,67,-9999,-9999,-9999
722535,12909,1940,01,02,06,58,-26,10203,20,67,-9999,-9999,-9999
722535,12909,1940,01,02,07,52,-15,10203,20,67,-9999,-9999,-9999
722535,12909,1940,01,02,08,46,-26,10217,360,82,-9999,-9999,-9999
722535,12909,1940,01,02,09,46,-26,10224,360,113,-9999,-9999,-9999
722535,12909,1940,01,02,10,41,-15,10230,360,87,-9999,-9999,-9999
722535,12909,1940,01,02,11,41,-15,10234,360,67,-9999,-9999,-9999
722535,12909,1940,01,02,12,41,-31,10234,20,67,-9999,-9999,-9999
722535,12909,1940,01,02,13,41,-31,10247,360,51,-9999,-9999,-9999
722535,12909,1940,01,02,14,35,-37,10261,360,67,-9999,-9999,-9999
722535,12909,1940,01,02,15,52,-48,10268,20,57,-9999,-9999,-9999
722535,12909,1940,01,02,16,69,-48,10274,20,72,-9999,-9999,-9999
722535,12909,1940,01,02,17,80,-31,10271,50,62,-9999,-9999,-9999
722535,12909,1940,01,02,18,91,-31,10254,360,51,-9999,-9999,-9999
722535,12909,1940,01,02,19,96,-26,10247,20,62,-9999,-9999,-9999
722535,12909,1940,01,02,20,107,-15,10240,360,62,-9999,-9999,-9999
722535,12909,1940,01,02,21,107,-15,10230,50,5,-9999,-9999,-9999
722535,12909,1940,01,02,22,113,-9,10230,360,15,-9999,-9999,-9999
722535,12909,1940,01,02,23,107,-26,10227,50,15,-9999,-9999,-9999
722535,12909,1940,01,03,00,85,-4,10230,90,15,-9999,-9999,-9999
722535,12909,1940,01,03,01,74,-15,10230,110,15,-9999,-9999,-9999
722535,12909,1940,01,03,02,69,-15,10230,110,26,-9999,-9999,-9999
722535,12909,1940,01,03,03,52,-15,10237,90,5,-9999,-9999,-9999
722535,12909,1940,01,03,04,30,-31,10237,90,15,-9999,-9999,-9999
722535,12909,1940,01,03,05,19,-9,10234,50,15,-9999,-9999,-9999
722535,12909,1940,01,03,06,13,-26,10234,360,15,-9999,-9999,-9999
722535,12909,1940,01,03,07,13,-31,10230,360,10,-9999,-9999,-9999
722535,12909,1940,01,03,08,8,-42,10227,360,5,-9999,-9999,-9999
722535,12909,1940,01,03,09,-4,-37,10220,20,10,-9999,-9999,-9999
722535,12909,1940,01,03,10,-9,-42,10213,20,5,-9999,-9999,-9999
722535,12909,1940,01,03,11,-15,-37,10213,360,15,-9999,-9999,-9999
722535,12909,1940,01,03,12,-9,-42,10207,360,5,-9999,-9999,-9999
722535,12909,1940,01,03,13,-20,-42,10210,320,15,-9999,-9999,-9999
722535,12909,1940,01,03,14,-4,-48,10213,320,15,-9999,-9999,-9999
722535,12909,1940,01,03,15,35,-53,10210,360,5,-9999,-9999,-9999
722535,12909,1940,01,03,16,69,-9,10207,90,5,-9999,-9999,-9999
722535,12909,1940,01,03,17,85,-4,10203,140,15,-9999,-9999,-9999
722535,12909,1940,01,03,18,91,19,10186,140,15,-9999,-9999,-9999
722535,12909,1940,01,03,19,91,41,10169,140,10,-9999,-9999,-9999
722535,12909,1940,01,03,20,91,52,10159,0,0,-9999,-9999,-9999
722535,12909,1940,01,03,21,96,58,10156,360,10,-9999,-9999,-9999
722535,12909,1940,01,03,22,96,58,10153,50,10,-9999,-9999,-9999
722535,12909,1940,01,03,23,102,63,10146,360,10,-9999,-9999,-9999
722535,12909,1940,01,04,00,102,63,10142,0,0,-9999,-9999,-9999
722535,12909,1940,01,04,01,107,69,10142,360,15,-9999,-9999,-9999
722535,12909,1940,01,04,02,107,69,10146,360,15,-9999,-9999,-9999
722535,12909,1940,01,04,03,107,74,10146,320,15,-9999,-9999,-9999
722535,12909,1940,01,04,04,113,80,10146,340,10,-9999,-9999,-9999
722535,12909,1940,01,04,05,119,80,10146,320,10,-9999,-9999,-9999
722535,12909,1940,01,04,06,124,96,10142,340,5,-9999,-9999,-9999
722535,12909,1940,01,04,07,124,102,10142,0,0,-9999,-9999,-9999
722535,12909,1940,01,04,08,124,102,10135,20,10,-9999,-9999,-9999
722535,12909,1940,01,04,09,119,107,10146,320,15,-9999,-9999,-9999
722535,12909,1940,01,04,10,119,107,10139,0,0,-9999,-9999,-9999
722535,12909,1940,01,04,11,113,102,10135,0,0,-9999,-9999,-9999
722535,12909,1940,01,04,12,102,96,10142,340,5,-9999,-9999,-9999
722535,12909,1940,01,04,13,96,91,10142,340,31,-9999,-9999,-9999
722535,12909,1940,01,04,14,91,74,10159,320,72,-9999,-9999,-9999
722535,12909,1940,01,04,15,107,63,10166,320,51,-9999,-9999,-9999
722535,12909,1940,01,04,16,124,63,10169,320,62,-9999,-9999,-9999
722535,12909,1940,01,04,17,141,63,10169,320,51,-9999,-9999,-9999
722535,12909,1940,01,04,18,146,58,10166,320,51,-9999,-9999,-9999
722535,12909,1940,01,04,19,152,52,10159,340,67,-9999,-9999,-9999
722535,12909,1940,01,04,20,135,35,10152,340,62,-9999,-9999,-9999
722535,12909,1940,01,04,21,124,35,10156,360,62,-9999,-9999,-9999
722535,12909,1940,01,04,22,113,30,10159,360,72,-9999,-9999,-9999
722535,12909,1940,01,04,23,102,30,10166,360,36,-9999,-9999,-9999
722535,12909,1940,01,05,00,91,41,10176,20,57,-9999,-9999,-9999
722535,12909,1940,01,05,01,74,24,10186,360,62,-9999,-9999,-9999
722535,12909,1940,01,05,02,52,13,10193,360,31,-9999,-9999,-9999
722535,12909,1940,01,05,03,52,19,10196,20,31,-9999,-9999,-9999
722535,12909,1940,01,05,04,63,24,10200,20,46,-9999,-9999,-9999
722535,12909,1940,01,05,05,63,24,10196,20,51,-9999,-9999,-9999
722535,12909,1940,01,05,06,63,24,10196,20,36,-9999,-9999,-9999
722535,12909,1940,01,05,07,58,35,10200,360,36,-9999,-9999,-9999
722535,12909,1940,01,05,08,52,30,10200,20,51,-9999,-9999,-9999
722535,12909,1940,01,05,09,58,35,10200,360,36,-9999,-9999,-9999
722535,12909,1940,01,05,10,52,30,10200,20,36,-9999,-9999,-9999
722535,12909,1940,01,05,11,52,30,10203,360,36,-9999,-9999,-9999
722535,12909,1940,01,05,12,52,30,10203,50,26,-9999,-9999,-9999
722535,12909,1940,01,05,13,52,19,10213,50,26,-9999,-9999,-9999
722535,12909,1940,01,05,14,52,13,10213,70,46,-9999,-9999,-9999
722535,12909,1940,01,05,15,52,19,10217,70,46,-9999,-9999,-9999
722535,12909,1940,01,05,16,58,19,10217,50,46,-9999,-9999,-9999
722535,12909,1940,01,05,17,63,19,10217,50,15,-9999,-9999,-9999
722535,12909,1940,01,05,18,69,24,10210,70,15,-9999,-9999,-9999
722535,12909,1940,01,05,19,74,24,10196,70,26,-9999,-9999,-9999
722535,12909,1940,01,05,20,85,24,10193,90,36,-9999,-9999,-9999
722535,12909,1940,01,05,21,85,24,10183,50,36,-9999,-9999,-9999
722535,12909,1940,01,05,22,80,30,10180,50,36,-9999,-9999,-9999
722535,12909,1940,01,05,23,80,30,10180,50,26,-9999,-9999,-9999
722535,12909,1940,01,06,00,80,30,10180,50,36,-9999,-9999,-9999
722535,12909,1940,01,06,01,74,41,10183,90,36,-9999,-9999,-9999
722535,12909,1940,01,06,02,74,41,10183,90,36,-9999,-9999,-9999
722535,12909,1940,01,06,03,69,46,10193,90,36,-9999,-9999,-9999
722535,12909,1940,01,06,04,69,52,10186,90,36,-9999,-9999,-9999
722535,12909,1940,01,06,05,63,52,10186,90,36,-9999,-9999,-9999
722535,12909,1940,01,06,06,63,52,10180,70,26,-9999,-9999,-9999
722535,12909,1940,01,06,07,63,52,10173,70,46,-9999,-9999,-9999
722535,12909,1940,01,06,08,63,52,10166,70,46,-9999,-9999,-9999
722535,12909,1940,01,06,09,58,58,10159,70,67,-9999,-9999,-9999
722535,12909,1940,01,06,10,63,63,10156,70,36,-9999,-9999,-9999
722535,12909,1940,01,06,11,63,63,10152,50,36,-9999,-9999,-9999
722535,12909,1940,01,06,12,63,63,10159,50,15,-9999,-9999,-9999
722535,12909,1940,01,06,13,63,63,10163,360,15,-9999,-9999,-9999
722535,12909,1940,01,06,14,63,63,10166,20,15,-9999,-9999,-9999
722535,12909,1940,01,06,15,63,58,10186,320,26,-9999,-9999,-9999
722535,12909,1940,01,06,16,74,63,10186,320,15,-9999,-9999,-9999
722535,12909,1940,01,06,17,74,63,10186,320,15,-9999,-9999,-9999
722535,12909,1940,01,06,18,91,69,10163,50,15,-9999,-9999,-9999
722535,12909,1940,01,06,19,96,80,10146,90,10,-9999,-9999,-9999
722535,12909,1940,01,06,20,113,80,10139,270,15,-9999,-9999,-9999
722535,12909,1940,01,06,21,130,69,10142,200,15,-9999,-9999,-9999
722535,12909,1940,01,06,22,141,69,10135,140,10,-9999,-9999,-9999
722535,12909,1940,01,06,23,119,85,10135,140,15,-9999,-9999,-9999
722535,12909,1940,01,07,00,96,85,10139,140,21,-9999,-9999,-9999
722535,12909,1940,01,07,01,85,80,10146,140,15,-9999,-9999,-9999
722535,12909,1940,01,07,02,69,63,10156,0,0,-9999,-9999,-9999
722535,12909,1940,01,07,03,58,52,10163,0,0,-9999,-9999,-9999
722535,12909,1940,01,07,04,58,52,10166,360,5,-9999,-9999,-9999
722535,12909,1940,01,07,05,58,58,10173,20,5,-9999,-9999,-9999
722535,12909,1940,01,07,06,69,69,10176,320,15,-9999,-9999,-9999
722535,12909,1940,01,07,07,52,52,10176,140,15,-9999,-9999,-9999
722535,12909,1940,01,07,08,46,46,10176,0,0,-9999,-9999,-9999
722535,12909,1940,01,07,09,52,52,10183,320,21,-9999,-9999,-9999
722535,12909,1940,01,07,10,63,63,10183,270,10,-9999,-9999,-9999
722535,12909,1940,01,07,11,58,58,10183,270,15,-9999,-9999,-9999
722535,12909,1940,01,07,12,41,41,10190,270,10,-9999,-9999,-9999
722535,12909,1940,01,07,13,46,35,10196,270,15,-9999,-9999,-9999
722535,12909,1940,01,07,14,58,58,10210,90,15,-9999,-9999,-9999
722535,12909,1940,01,07,15,69,58,10220,50,26,-9999,-9999,-9999
722535,12909,1940,01,07,16,74,63,10227,50,46,-9999,-9999,-9999
722535,12909,1940,01,07,17,91,52,10227,50,46,-9999,-9999,-9999
722535,12909,1940,01,07,18,102,69,10220,50,51,-9999,-9999,-9999
722535,12909,1940,01,07,19,107,69,10213,50,46,-9999,-9999,-9999
722535,12909,1940,01,07,20,113,58,10213,50,46,-9999,-9999,-9999
722535,12909,1940,01,07,21,107,52,10213,50,51,-9999,-9999,-9999
722535,12909,1940,01,07,22,107,52,10220,360,51,-9999,-9999,-9999
722535,12909,1940,01,07,23,91,46,10227,50,36,-9999,-9999,-9999
722535,12909,1940,01,08,00,80,30,10234,50,46,-9999,-9999,-9999
722535,12909,1940,01,08,01,58,19,10244,50,46,-9999,-9999,-9999
722535,12909,1940,01,08,02,46,8,10257,20,46,-9999,-9999,-9999
722535,12909,1940,01,08,03,35,8,10261,50,10,-9999,-9999,-9999
722535,12909,1940,01,08,04,30,2,10261,360,31,-9999,-9999,-9999
722535,12909,1940,01,08,05,30,-9,10268,50,21,-9999,-9999,-9999
722535,12909,1940,01,08,06,24,-4,10271,160,15,-9999,-9999,-9999
722535,12909,1940,01,08,07,24,-15,10274,50,26,-9999,-9999,-9999
722535,12909,1940,01,08,08,13,-4,10281,50,26,-9999,-9999,-9999
722535,12909,1940,01,08,09,2,-31,10278,50,10,-9999,-9999,-9999
722535,12909,1940,01,08,10,-4,-37,10281,50,10,-9999,-9999,-9999
722535,12909,1940,01,08,11,-9,-31,10278,50,15,-9999,-9999,-9999
722535,12909,1940,01,08,12,2,-31,10284,50,10,-9999,-9999,-9999
722535,12909,1940,01,08,13,-4,-31,10308,360,15,-9999,-9999,-9999
722535,12909,1940,01,08,14,8,-31,10312,20,10,-9999,-9999,-9999
722535,12909,1940,01,08,15,24,-37,10315,20,26,-9999,-9999,-9999
722535,12909,1940,01,08,16,41,-48,10315,20,15,-9999,-9999,-9999
722535,12909,1940,01,08,17,58,-26,10308,90,15,-9999,-9999,-9999
722535,12909,1940,01,08,18,63,-37,10305,90,15,-9999,-9999,-9999
722535,12909,1940,01,08,19,80,-31,10284,90,15,-9999,-9999,-9999
722535,12909,1940,01,08,20,85,-26,10281,140,5,-9999,-9999,-9999
722535,12909,1940,01,08,21,96,-26,10281,90,15,-9999,-9999,-9999
